STUDENT NO.,T1,T2,T3,Q1,Q2,Q3,Best Quiz,SM
201425711,14,,,10,,,10,40
201510343,32,37,,10,6,,10,"72,1"
201820548,10,,6,10,8,,10,"24,4"
201828323,9,14,,6,6,10,10,"30,7"
201902437,8,"20,5",18,10,8,8,10,40
201902526,45,41,,10,6,,10,"87,4"
201903251,13,20,22,10,4,10,10,43
201910541,,,,10,,,10,10
201912160,28,"42,5",,10,6,6,10,"73,45"
201912307,10,,11,8,8,,8,"26,9"
201916963,30,25,,8,8,6,8,"57,5"
201917649,26,24,,0,6,8,8,53
201917866,38,32.5,,4,6,,6,"74,4"
201918356,30,20,,10,6,6,10,55
201919071,8,5,,0,,,0,"11,7"
201920720,30,28,,10,6,,10,"62,2"
201922741,20,27,,0,8,6,8,"50,3"
201923586,26,30,,6,8,,8,"58,4"
201928534,27,35,,8,4,,8,"63,8"
201931149,28,26,,6,8,,8,"56,6"
201931918,17,10,,0,8,,8,"32,3"
201936193,38,39,,6,6,,6,"75,3"
201947153,47,44,,6,8,8,8,"89,9"
201953089,9,13,,,,,,"19,8"
201954019,,16,8,10,4,8,10,"31,6"
202003433,40,38,,6,8,6,8,"78,2"
202004461,14,21,35,10,8,8,10,52
202004465,,,,0,,,0,
202005266,20,23,,8,8,,8,"46,7"
202007096,18,12,8,10,6,10,10,"32,8"
202008011,12,34,,0,6,4,6,"47,4"
202009061,6,,,0,,,0,"10,8"
202009212,22,20,20,6,8,,8,"45,2"
202010410,15,20,20,6,4,4,6,40
202012523,10,,,6,,,6,24
202013246,28,32,,0,6,6,6,60
202014305,8,7,,10,,6,10,"23,5"
202015733,12,21,,10,8,,10,40
202015961,2,5,,0,4,,4,"10,3"
202017077,22,"26,5",,8,4,,8,"51,65"
202017577,16,30,,8,8,,8,"49,4"
202018732,20,30,,2,6,10,10,55
202020214,14,24,19,8,4,10,10,"44,2"
202020524,25,,21,8,8,8,8,"49,4"
202020979,27,46,,8,8,,8,"73,7"
202024583,35,49,,10,,,10,"85,6"
202025282,6,,,10,,,10,"20,8"
202026087,18,,,0,,,0,"32,4"
202026426,18,33,,10,8,,10,"55,9"
202028686,16,35,,10,8,,10,"55,9"
202031503,,22,27,8,6,6,8,"52,1"
202034335,30,41,,8,,2,8,"71,9"
202035570,,,5,0,,,0,9
202040070,15,32,31,10,6,10,10,"56,8"
202041092,15,"33,5",,8,6,10,10,"53,65"
202045250,20,44,,8,6,,8,"65,6"
202047770,20,39,,6,8,10,10,"63,1"
202049607,22,32,,10,6,10,10,"58,6"
202053768,25,"40,5",,10,8,,10,"68,95"
202053828,4,,,10,,,10,"17,2"
202057659,18,40,,10,8,6,10,"62,2"
202060361,,,,0,,,0,
202060740,23,37,,6,8,,8,62
202062616,18,26,,10,4,6,10,"49,6"
202062747,24,36,,10,6,,10,64
202063069,25,40,,10,8,10,10,"68,5"
202063426,22,23,,10,8,,10,"50,5"
202064688,12,,,0,8,8,8,"29,6"
202065953,23,34,18,6,8,6,8,53
202100480,44,"37,5",,6,8,,8,"81,35"
202100580,6,9,,10,,,10,"23,5"
202101092,9,7,,10,6,,10,"24,4"
202101352,24,36,,8,8,,8,62
202101506,15,11,,10,,8,10,"33,4"
202102582,10,"24,5",35,10,4,6,10,"51,7"
202103142,31,46,,8,8,6,8,"77,3"
202103276,17,"13,5",27,10,4,8,10,"44,5"
202104036,32,42,,8,8,,8,"74,6"
202104215,40,37,,6,8,,8,"77,3"
202104676,19,28,,8,6,,8,"50,3"
202104759,18,"39,5",,10,8,,10,"61,75"
202104781,20,22,,8,8,6,8,"45,8"
202105123,41,40,,4,8,8,8,"80,9"
202105169,27,48,,10,6,6,10,"77,5"
202105210,25,31,,10,6,,10,"60,4"
202105657,11,,,8,,,8,"27,8"
202105738,39,38,,10,4,,10,"79,3"
202106034,22,35,35,4,8,,8,"63,2"
202106297,33,,40,10,6,6,10,"75,7"
202106754,21,23,,4,6,8,8,"47,6"
202106956,9,18,16,10,8,8,10,40
202109215,18,22,,6,6,,6,42
202109504,20,24,,10,6,,10,"49,6"
202109574,18,20,,8,6,,8,"42,2"
202110101,18,"30,5",42,10,8,,10,"64,3"
202110149,32,34,,6,6,8,8,"67,4"
202110548,8,25,24,8,8,8,8,"42,2"
202110558,27,21,,10,10,10,10,"53,2"
202110578,33,25,34,8,8,8,8,"63,2"
202111312,19,45,,10,4,6,10,"67,6"
202111585,29,27,,10,8,,10,"60,4"
202112714,34,27,,8,8,,8,"62,9"
202113359,18,17,23,8,6,6,8,"42,8"
202113437,26,,,10,8,10,10,"56,8"
202114569,13,11,,10,6,8,10,"31,6"
202115290,12,10,,10,8,,10,"29,8"
202115365,25,38,,4,8,8,8,"64,7"
202116079,37,40,,8,10,,10,"79,3"
202116294,15,33,,8,8,,8,"51,2"
202116520,49,46,,8,,2,8,"93,5"
202116719,18,28,,8,8,10,10,"51,4"
202116942,42,31,35,8,10,,10,"74,8"
202116967,30,30,,8,6,,8,62
202117568,,,,0,,,0,
202118404,13,23,19,8,4,,8,41
202118510,21,16,10,8,2,8,8,40
202118702,2,,,0,4,,4,"7,6"
202119216,3,12,,8,4,,8,"21,5"
202119788,5,13,14,10,,10,10,"29,2"
202120573,29,"33,5",,10,4,,10,"66,25"
202121116,21,"24,5",,8,8,6,8,"48,95"
202122546,20,12,8,6,6,,6,30
202123178,32,38,,8,8,4,8,71
202123299,21,30,,10,8,,10,"55,9"
202124341,,16,,0,,,0,"28,8"
202124736,41,34,,8,6,,8,"75,5"
202125964,,23,21,4,8,,8,"47,6"
202126790,37,"37,5",,10,8,,10,"77,05"
202126996,14,21,27,0,4,8,8,"45,2"
202127237,34,40,,10,6,,10,"76,6"
202127770,25,42,,10,8,6,10,"70,3"
202128567,20,,28,10,8,4,10,"53,2"
202129806,6,16,20,10,6,,10,40
202129896,12,32,,8,8,,8,"47,6"
202130169,36,51,,8,6,,8,"86,3"
202130415,23,"41,5",,8,8,,8,"66,05"
202131851,,,,0,,,0,
202132271,32,47,,10,6,,10,"81,1"
202132299,14,8,,10,4,,10,"29,8"
